Country,Year,population,fertility,HIV,CO2,BMI_male,GDP,BMI_female,life,child_mortality,Group,ID
Afghanistan,1960,8994793.0,7.67,,0.042842659763311,,1206.0,,35.684599999999996,362.4,South Asia,AF
Afghanistan,1961,9164945.0,7.67,,0.049831330749406,,1192.0,,36.30334,356.5,South Asia,AF
Afghanistan,1962,9343772.0,7.67,,0.068546184483371,,1188.0,,36.92307999999999,350.6,South Asia,AF
Afghanistan,1963,9531555.0,7.67,,0.068964930277203,,1185.0,,37.54182,345.0,South Asia,AF
Afghanistan,1964,9728645.0,7.67,,0.08015985128136,,1182.0,,38.15956,339.7,South Asia,AF
Afghanistan,1965,9935358.0,7.67,,0.094254527543494,,1182.0,,38.7753,334.1,South Asia,AF
Afghanistan,1966,10148841.0,7.67,,0.099990324304189,,1168.0,,39.38804,328.7,South Asia,AF
Afghanistan,1967,10368600.0,7.67,,0.114956366743416,,1173.0,,39.99878,323.3,South Asia,AF
Afghanistan,1968,10599790.0,7.67,,0.107323136057986,,1187.0,,40.60552,318.1,South Asia,AF
Afghanistan,1969,10849510.0,7.67,,0.080700020581788,,1178.0,,41.20625999999999,313.0,South Asia,AF
Afghanistan,1970,11121097.0,7.67,,0.139742008838181,,1174.0,,41.8,307.8,South Asia,AF
Afghanistan,1971,11412821.0,7.67,,0.154457024892622,,1092.0,,42.2,302.1,South Asia,AF
Afghanistan,1972,11716896.0,7.67,,0.121701178135163,,1046.0,,42.6,296.4,South Asia,AF
Afghanistan,1973,12022514.0,7.67,,0.126901794502868,,1137.0,,43.0,290.8,South Asia,AF
Afghanistan,1974,12315553.0,7.67,,0.145014905303981,,1170.0,,43.5,284.9,South Asia,AF
Afghanistan,1975,12582954.0,7.67,,0.157466198078853,,1201.0,,44.0,279.4,South Asia,AF
Afghanistan,1976,12831361.0,7.67,,0.144357039267633,,1231.0,,44.5,273.6,South Asia,AF
Afghanistan,1977,13056499.0,7.67,,0.17072034655183,,1119.0,,45.0,267.8,South Asia,AF
Afghanistan,1978,13222547.0,7.67,,0.152307409056092,,1179.0,,44.3,261.6,South Asia,AF
Afghanistan,1979,13283279.0,7.67,,0.157221968061133,,1155.0,,43.5,255.5,South Asia,AF
Afghanistan,1980,13211412.0,7.67,,0.124068350664249,21.48678,1158.0,122.0799,43.5,249.1,South Asia,AF
Afghanistan,1981,12996923.0,7.67,,0.141851660205515,21.46552,1284.0,122.2677,44.3,242.7,South Asia,AF
Afghanistan,1982,12667001.0,7.67,,0.153661959778744,21.45145,1402.0,122.4872,44.2,236.2,South Asia,AF
Afghanistan,1983,12279095.0,7.67,,0.189673386838872,21.43822,1454.0,122.7061,43.0,229.7,South Asia,AF
Afghanistan,1984,11912510.0,7.68,,0.218892082826475,21.42734,1429.0,122.9095,41.3,222.9,South Asia,AF
Afghanistan,1985,11630498.0,7.68,,0.277934165799888,21.41222,1384.0,123.0919,42.8,216.0,South Asia,AF
Afghanistan,1986,11438949.0,7.68,,0.253985178872302,21.40132,1486.0,123.2892,43.5,209.2,South Asia,AF
Afghanistan,1987,11337932.0,7.68,,0.256414739185417,21.37679,1230.0,123.4189,45.2,202.1,South Asia,AF
Afghanistan,1988,11375768.0,7.68,,0.235864738893319,21.34018,1113.0,123.5137,46.9,195.0,South Asia,AF
Afghanistan,1989,11608351.0,7.68,,0.223579288808969,21.29845,1087.0,123.5832,50.2,187.8,South Asia,AF
Afghanistan,1990,12067570.0,7.69,,0.205389318522589,21.24818,1028.0,123.6358,50.3,181.0,South Asia,AF
Afghanistan,1991,12789374.0,7.7,,0.177211030998142,21.20269,1022.0,123.6932,50.2,174.2,South Asia,AF
Afghanistan,1992,13745630.0,7.73,,0.092187585772803,21.14238,941.0,123.702,50.4,167.8,South Asia,AF
Afghanistan,1993,14824371.0,7.76,,0.080629966915912,21.06376,810.0,123.6624,50.5,162.0,South Asia,AF
Afghanistan,1994,15869967.0,7.8,,0.07114438272789,20.97987,725.0,123.6136,50.1,156.8,South Asia,AF
Afghanistan,1995,16772522.0,7.83,,0.06410683979219,20.91132,872.0,123.6216,50.4,152.3,South Asia,AF
Afghanistan,1996,17481800.0,7.86,,0.05796475916682,20.85155,895.0,123.6593,50.6,148.6,South Asia,AF
Afghanistan,1997,18034130.0,7.87,,0.05233336541569,20.81307,921.0,123.7363,50.7,145.5,South Asia,AF
Afghanistan,1998,18511480.0,7.85,,0.048546686442699,20.78591,947.0,123.8316,50.0,142.6,South Asia,AF
Afghanistan,1999,19038420.0,7.81,,0.037446034108823,20.75469,972.0,123.9363,50.8,139.9,South Asia,AF
Afghanistan,2000,19701940.0,7.73,,0.034170007029134,20.69521,962.0,124.0053,51.0,137.0,South Asia,AF
Afghanistan,2001,20531160.0,7.62,,0.0272552620711,20.62643,862.0,124.0746,51.1,133.8,South Asia,AF
Afghanistan,2002,21487079.0,7.48,,0.014583427439054,20.59848,1053.0,124.2085,51.6,130.3,South Asia,AF
Afghanistan,2003,22507368.0,7.32,,0.022703695472334,20.58706,1097.0,124.3654,52.1,126.8,South Asia,AF
Afghanistan,2004,23499850.0,7.14,,0.027472370350329,20.57759,1067.0,124.519,52.5,123.2,South Asia,AF
Afghanistan,2005,24399948.0,6.93,,0.036779903624823,20.58084,1146.0,124.6693,52.9,119.6,South Asia,AF
Afghanistan,2006,25183615.0,6.7,,0.047089636454167,20.58749,1173.0,124.8126,53.2,116.3,South Asia,AF
Afghanistan,2007,25877544.0,6.46,,0.068311633210378,20.60246,1298.0,124.9512,53.6,113.2,South Asia,AF
Afghanistan,2008,26528741.0,6.2,,0.131601903137112,20.62058,1311.0,125.0857,54.0,110.4,South Asia,AF
Afghanistan,2009,27207291.0,5.93,,0.213325006583217,,1548.0,,54.5,107.6,South Asia,AF
Afghanistan,2010,27962207.0,5.66,,0.262173714248628,,1637.0,,54.8,105.0,South Asia,AF
Afghanistan,2011,28809167.0,5.4,,,,1695.0,,55.2,102.3,South Asia,AF
Afghanistan,2012,29726803.0,5.14,,,,1893.0,,55.5,99.5,South Asia,AF
