Country,Year,Life expectancy,Child Mortality,Population,Fertility,GDP,Group
Afghanistan,1964,38.15956,339.7,10474903.0,7.67,1182.0,South Asia
Afghanistan,1965,38.7753,334.1,10697983.0,7.67,1182.0,South Asia
Afghanistan,1966,39.388040000000004,328.7,10927724.0,7.67,1168.0,South Asia
Afghanistan,1967,39.99878,323.3,11163656.0,7.67,1173.0,South Asia
Afghanistan,1968,40.60552,318.1,11411022.0,7.67,1187.0,South Asia
Afghanistan,1969,41.20626,313.0,11676990.0,7.67,1178.0,South Asia
Afghanistan,1970,41.8,307.8,11964906.0,7.67,1174.0,South Asia
Afghanistan,1971,42.2,302.1,12273101.0,7.67,1092.0,South Asia
Afghanistan,1972,42.6,296.4,12593688.0,7.67,1046.0,South Asia
Afghanistan,1973,43.0,290.8,12915499.0,7.67,1137.0,South Asia
Afghanistan,1974,43.5,284.9,13223928.0,7.67,1170.0,South Asia
Afghanistan,1975,44.0,279.4,13505544.0,7.67,1201.0,South Asia
Afghanistan,1976,44.5,273.6,13766792.0,7.67,1231.0,South Asia
Afghanistan,1977,45.0,267.8,14003408.0,7.67,1119.0,South Asia
Afghanistan,1978,44.3,261.6,14179656.0,7.67,1179.0,South Asia
Afghanistan,1979,43.5,255.5,14249493.0,7.67,1155.0,South Asia
Afghanistan,1980,43.5,249.1,14185729.0,7.67,1158.0,South Asia
Afghanistan,1981,44.3,242.7,13984092.0,7.67,1284.0,South Asia
Afghanistan,1982,44.2,236.2,13672870.0,7.67,1402.0,South Asia
Afghanistan,1983,43.0,229.7,13300056.0,7.67,1454.0,South Asia
Afghanistan,1984,41.3,222.9,12931791.0,7.68,1429.0,South Asia
Afghanistan,1985,42.8,216.0,12625292.0,7.68,1384.0,South Asia
Afghanistan,1986,43.5,209.2,12372113.0,7.68,1486.0,South Asia
Afghanistan,1987,45.2,202.1,12183387.0,7.68,1230.0,South Asia
Afghanistan,1988,46.9,195.0,12156685.0,7.68,1113.0,South Asia
Afghanistan,1989,50.2,187.8,12414686.0,7.68,1087.0,South Asia
Afghanistan,1990,50.3,181.0,13032161.0,7.69,1028.0,South Asia
Afghanistan,1991,50.2,174.2,14069854.0,7.7,1022.0,South Asia
Afghanistan,1992,50.4,167.8,15472076.0,7.73,941.0,South Asia
Afghanistan,1993,50.5,162.0,17053213.0,7.76,810.0,South Asia
Afghanistan,1994,50.1,156.8,18553819.0,7.8,725.0,South Asia
Afghanistan,1995,50.4,152.3,19789880.0,7.83,872.0,South Asia
Afghanistan,1996,50.6,148.6,20684982.0,7.86,895.0,South Asia
Afghanistan,1997,50.7,145.5,21299350.0,7.87,921.0,South Asia
Afghanistan,1998,50.0,142.6,21752257.0,7.85,947.0,South Asia
Afghanistan,1999,50.8,139.9,22227543.0,7.81,972.0,South Asia
Afghanistan,2000,51.0,137.0,22856302.0,7.73,962.0,South Asia
Afghanistan,2001,51.1,133.8,23677385.0,7.62,862.0,South Asia
Afghanistan,2002,51.6,130.3,24639841.0,7.48,1053.0,South Asia
Afghanistan,2003,52.1,126.8,25678639.0,7.32,1097.0,South Asia
Afghanistan,2004,52.5,123.2,26693486.0,7.14,1067.0,South Asia
Afghanistan,2005,52.9,119.6,27614718.0,6.93,1146.0,South Asia
Afghanistan,2006,53.2,116.3,28420974.0,6.7,1173.0,South Asia
Afghanistan,2007,53.6,113.2,29145841.0,6.46,1298.0,South Asia
Afghanistan,2008,54.0,110.4,29839994.0,6.2,1311.0,South Asia
Afghanistan,2009,54.5,107.6,30577756.0,5.93,1548.0,South Asia
Afghanistan,2010,54.8,105.0,31411743.0,5.66,1637.0,South Asia
Afghanistan,2011,55.2,102.3,32358260.0,5.4,1695.0,South Asia
Afghanistan,2012,55.5,99.5,33397058.0,5.14,1893.0,South Asia
Afghanistan,2013,56.2,96.7,34499915.0,4.9,1884.0,South Asia
Albania,1964,65.25676,122.67,1817098.0,5.71,3023.0,Europe & Central Asia
Albania,1965,65.6398,120.09,1869942.0,5.59,3129.0,Europe & Central Asia
Albania,1966,65.89384,117.56,1922993.0,5.48,3242.0,Europe & Central Asia
Albania,1967,66.08288,115.09,1976140.0,5.38,3359.0,Europe & Central Asia
Albania,1968,66.26191999999999,112.67,2029314.0,5.27,3475.0,Europe & Central Asia
Albania,1969,66.45896,110.3,2082474.0,5.16,3587.0,Europe & Central Asia
Albania,1970,66.7,107.98,2135599.0,5.05,3712.0,Europe & Central Asia
Albania,1971,67.1,105.71,2188650.0,4.93,3849.0,Europe & Central Asia
Albania,1972,67.5,103.49,2241623.0,4.81,3988.0,Europe & Central Asia
Albania,1973,68.0,101.31,2294578.0,4.68,4174.0,Europe & Central Asia
Albania,1974,68.6,99.18,2347607.0,4.54,4177.0,Europe & Central Asia
Albania,1975,69.1,97.1,2400801.0,4.39,4178.0,Europe & Central Asia
Albania,1976,69.5,95.06,2454255.0,4.24,4182.0,Europe & Central Asia
Albania,1977,70.0,93.06,2508026.0,4.09,4188.0,Europe & Central Asia
Albania,1978,70.4,91.1,2562121.0,3.95,4194.0,Europe & Central Asia
Albania,1979,70.7,84.7,2616530.0,3.81,4201.0,Europe & Central Asia
Albania,1980,70.9,78.6,2671300.0,3.68,4218.0,Europe & Central Asia
Albania,1981,71.0,73.0,2725029.0,3.56,4227.0,Europe & Central Asia
Albania,1982,71.0,67.8,2777592.0,3.46,4237.0,Europe & Central Asia
Albania,1983,71.0,62.8,2831682.0,3.37,4248.0,Europe & Central Asia
Albania,1984,71.5,58.3,2891004.0,3.3,4259.0,Europe & Central Asia
Albania,1985,72.2,54.3,2957390.0,3.23,4267.0,Europe & Central Asia
Albania,1986,72.7,50.7,3033393.0,3.18,4281.0,Europe & Central Asia
Albania,1987,73.0,47.6,3116009.0,3.13,4294.0,Europe & Central Asia
Albania,1988,73.2,44.9,3194854.0,3.08,4307.0,Europe & Central Asia
